Round,Pick Number,Overall Pick,Player,Player ID,Team,Position,NFL Team,Position Rank,Eligible Slots,Acquisition Type,Season
8,10,94,Deebo Samuel,3126486,PUG,WR,WSH,23.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
8,11,95,Evan Engram,3051876,SELL,TE,DEN,28.0,"['WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],2025
8,12,96,Chris Olave,4361370,ED,WR,NO,7.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
9,1,97,Quinshon Judkins,4685702,ED,RB,CLE,19.0,"['Rookie', 'RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
9,2,98,Kaleb Johnson,4819231,SELL,RB,PIT,99.0,"['Rookie', 'RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],2025
9,3,99,Darnell Mooney,4040655,PUG,WR,ATL,80.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
9,4,100,Austin Ekeler,3068267,WALL,RB,WSH,94.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],2025
9,5,101,Dak Prescott,2577417,DAVE,QB,DAL,4.0,"['QB', 'OP', 'BE', 'IR']",DRAFT,2025
9,6,102,Michael Pittman Jr.,4035687,CRAIG,WR,IND,9.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
9,7,103,Travis Etienne Jr.,4239996,JAY,RB,JAX,10.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
9,8,104,Tyler Warren,4431459,WAKA,TE,IND,4.0,"['Rookie', 'WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
9,9,105,Xavier Legette,4430034,HOUSE,WR,CAR,69.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",ADD,2025
9,10,106,Zach Charbonnet,4426385,FEDS,RB,SEA,31.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
9,11,107,Cam Skattebo,4696981,BIV,RB,NYG,27.0,"['Rookie', 'RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],2025
9,12,108,Tucker Kraft,4572680,HARN,TE,GB,14.0,"['WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],2025
10,1,109,Jauan Jennings,3886598,HARN,WR,SF,42.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
10,2,110,Jordan Addison,4429205,BIV,WR,MIN,45.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
10,3,111,Chris Godwin Jr.,3116165,FEDS,WR,TB,115.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
10,4,112,Nick Chubb,3128720,HOUSE,RB,HOU,45.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],2025
10,5,113,Rhamondre Stevenson,4569173,WAKA,RB,NE,43.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",ADD,2025
10,6,114,Keon Coleman,4635008,JAY,WR,BUF,53.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],2025
10,7,115,Keenan Allen,15818,CRAIG,WR,LAC,27.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
10,8,116,Jayden Reed,4362249,DAVE,WR,GB,134.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",ADD,2025
10,9,117,Colston Loveland,4723086,WALL,TE,CHI,21.0,"['Rookie', 'WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
10,10,118,Braelon Allen,4685247,PUG,RB,NYJ,88.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
10,11,119,Rashid Shaheed,4032473,SELL,WR,SEA,36.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
10,12,120,Jerome Ford,4372019,ED,RB,CLE,66.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],2025
11,1,121,Joe Mixon,3116385,ED,RB,HOU,0.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],2025
11,2,122,Bhayshul Tuten,4882093,SELL,RB,JAX,52.0,"['Rookie', 'RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
11,3,123,Trey Benson,4429275,PUG,RB,ARI,69.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
11,4,124,Justin Fields,4362887,WALL,QB,NYJ,24.0,"['QB', 'OP', 'BE', 'IR']",[],2025
11,5,125,Ollie Gordon II,4711533,DAVE,RB,MIA,60.0,"['Rookie', 'RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",ADD,2025
11,6,126,Tank Bigsby,4429013,CRAIG,RB,PHI,83.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",ADD,2025
11,7,127,Dallas Goedert,3121023,JAY,TE,PHI,7.0,"['WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
11,8,128,Brian Robinson Jr.,4241474,WAKA,RB,SF,59.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
11,9,129,Brandon Aubrey,3953687,HOUSE,K,DAL,2.0,"['K', 'BE', 'IR']",DRAFT,2025
11,10,130,Jayden Higgins,4877706,FEDS,WR,HOU,50.0,"['Rookie', 'RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",ADD,2025
11,11,131,C.J. Stroud,4432577,BIV,QB,HOU,25.0,"['QB', 'OP', 'BE', 'IR']",[],2025
11,12,132,Jaydon Blue,4685279,HARN,,,,,,2025
12,1,133,Josh Downs,4688813,HARN,WR,IND,49.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",TRADE,2025
12,2,134,Tyler Allgeier,4373626,BIV,RB,ATL,36.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
12,3,135,Rachaad White,4697815,FEDS,RB,TB,29.0,"['RB', 'RB/WR', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
12,4,136,Christian Kirk,3895856,HOUSE,WR,HOU,98.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],2025
12,5,137,Hunter Henry,3046439,WAKA,TE,NE,8.0,"['WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",ADD,2025
12,6,138,Jared Goff,3046779,JAY,QB,DET,10.0,"['QB', 'OP', 'BE', 'IR']",DRAFT,2025
12,7,139,Cedric Tillman,4369863,CRAIG,WR,CLE,96.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],2025
12,8,140,Marvin Mims Jr.,4686472,DAVE,WR,DEN,73.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
12,9,141,Rashod Bateman,4360939,WALL,WR,BAL,90.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],2025
12,10,142,Kyle Pitts Sr.,4360248,PUG,TE,ATL,10.0,"['WR/TE', 'TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",DRAFT,2025
12,11,143,Steelers D/ST,-16023,SELL,D/ST,PIT,8.0,"['D/ST', 'BE', 'IR']",DRAFT,2025
12,12,144,Hollywood Brown,4241372,ED,WR,KC,41.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",ADD,2025
13,1,145,Brandon Aiyuk,4360438,ED,WR,SF,0.0,"['RB/WR', 'WR', 'WR/TE', 'RB/WR/TE', 'OP', 'BE', 'IR']",[],2025
13,2,146,Jake Bates,4689936,SELL,K,DET,8.0,"['K', 'BE', 'IR']",ADD,2025
